FullDescription,LocationNormalized,ContractTime,SalaryNormalized
"Protection & Control Project Engineer Substation, Protection, Control, P&C, Project Engineer, HV, EHV, Electrical Engineer, Design, Technical Specifications, Design Verifications. Croydon, South London area. Permanent, circa ****k plus generous benefits. Required ASAP. Our client is a world class manufacturer of Electrical Substation Equipment, providing EHV Equipment and Engineering Solutions to the Power Transmission sector. Protection & Control Project Engineer Substation, Protection, Control, P&C, Project Engineer, HV, EHV, Electrical Engineer, Design, Technical Specifications, Design Verifications. They are currently seeking a Protection & Control Project Engineer to ensure the execution of EHV substation projects on time and within budget, carrying out detailed engineering of the Protection and Control scope as well as managing project delivery. Duties include, but are not limited to: Carry out detailed engineering of the Protection and Control component of the projects, usually be limited to the design of the Protection and Control panels (GA drawings, circuit diagrams and wiring diagrams) up to the panel terminals but including design of the external interfaces to the panel in some cases. Producing cable schedules and core sheets when the external interface design is part of the project scope. Delegation of design work to junior engineers and subcontractors, supervising delivery of the design and taking responsibility for the quality of the design produced. Leading and coordinating the work of the different engineering disciplines for projects where a multidisciplinary approach is required Producing designs that are compliant with customer and internal standards, specifications and procedures. Managing the delivery of small, straightforward projects including producing project programmes in MS Project and monthly progress and financial reports, with the assistance of a project administrative assistant. Assisting the Project Manager assigned to deliver large or complex projects by providing input to the project programme, the monthly progress reports and the monthly financial reports. Compiling tender responses by assessing customer specifications, producing a compliant offer, estimating equipment and manpower requirements and documenting the scope of the offer. Managing the panel manufacture subcontractor to ensure protection panels are delivered on time. Managing the protection settings calculation and approval process to ensure that approved protection settings are available on time. Identifying the equipment and services required for each project and have the orders placed in a timely fashion. Keeping track of relay logic, firmware and settings files to ensure the correct files are uploaded to the correct relays and that a record is kept of the files for each relay in service. Expediting and tracking all equipment and services ordered to ensure that they are delivered on time, with the assistance of a project administrative assistant. Carrying out or supervising factory acceptance tests (FAT) on the Protection and Control panels produced, including production of the FAT plan, FAT procedures and secondary injection test templates. To be considered for this role, candidates will be qualified to degree level (or equivalent) in Electrical & Electronic Engineering (HNC/HND will also be considered alongside the right experience) with previous experience in a similar Project Engineer position and with experience of HV Protection & Control components and designs for HV substation projects. Applicants must be eligible to work in the UK without the need for employer work permit sponsorship. Key Words: Protection & Control Project Engineer, Substation, Protection, Control, P&C, Project Engineer, HV, EHV, Electrical Engineer, Design, Technical Specifications, Design Verifications. This is a PERMANENT position.Electus Recruitment Ltd is acting as an Employment Agency in relation to this vacancy",Croydon,,45000
"Mechanical Design Engineer ********0 per hour  **** months contract A contract opportunity has arisen for a Mechanical Design Engineer to join our well established design and manufacturing client with an imminent start date for 3 months. Our client is a global company and an industry leader in its sector. Being established for over 30 years and still looking at company growth and expansion continuously. They are looking for an experienced 3D mechanical design engineer with experience of any 3D package such as  SolidEdge, SolidWorks, Inventor, Proengineer or anything similar. You must come from a mechanical manufacturing background along with pipework and ducting component configuration knowledge and understanding. Duties and Responsibilities include:  • Under the supervision of the manager dealing with special orders including small unit modifications or bespoke one off products ******** • Completing Sales engineers layouts for special units • Working closely at all times with the manufacturing department including creation of drawings • Dealing with order processing and purchasing Experience and Skills required:  • Essential 3D mechanical design • Pipework and ducting component configuration • 3D Design package experience preferably solid edge • Must have worked in the mechanical manufacturing industry ****30 per hour 3 months contract How to Apply If this sounds like a role for you  then APPLY now Interviews are happening locally immediately, so don't delay. For further details please contact Suzanna Stewart on **** **** Email: suzanna.stewartatarecruitment.co.uk or send your CV by clicking 'Apply'.  Candidates must be eligible to live and work in the UK to apply for this position  ATA Recruitment Ltd, the recruitment division of RTC Group PLC, has a nationwide presence represented by branches in nine locations across the UK. Typical vacancies filled would be chemical, management, maintenance, service, design, production and project roles. With a convenient Leeds Centre location our premises provide excellent facilities for face to face interviews. For further positions please take time to browse our website: www.atarecruitment.co.uk or alternatively call one of our consultants on **** **** **** This job was originally posted as www.totaljobs.com/JobSeeking/MechanicalDesignEngineer_job****",Yorkshire and Humberside,contract,52800
"Today Listers Group stands as one of the largest privately owned automotive dealer groups in the UK. Since the company’s inception in **** we have grown and developed to in excess of **** business centres, stretching from Gloucestershire through the Midlands up to Lincolnshire and Norfolk. As a multiaward winning dealer group Listers represents many quality Marques including – Land Rover, MercedesBenz, Audi, Lexus, Volkswagen, Honda, BMW, MINI, Toyota and SEAT. To fulfil and deliver on our, and the brands expectation we look to recruit and develop individuals who will deliver an exceptional service. Working as part of a busy IT team, your role will primarily involve responding to telephone calls, email and personal requests for technical support from over **** internal users. You will also assist IT department staff on other projects as needed, such as training, set up, data entry, documentation, and knowledgebase creation. Main Job Tasks and Responsibilities: • Acting as the first point of contact to all users, providing general admin duties for the department on the whole. • Respond to requests for technical assistance in person, via phone, or electronically. • Provide initial diagnosis of, and resolving of a variety of IT related issues. • Log all help desk interactions through the help desk software. • Identify and escalate situations requiring urgent attention to the relevant resource. • Track and route problems and requests and document resolutions. • Create materials for endusers, including manuals and knowledge base articles. • Assist IT department staff on other projects as needed. Required Skills/Experience Full training will be provided for relevant hardware and software but the following would be advantageous: • Excellent communication skills. Ability to communicate technical solutions in a userfriendly and professional manner both verbally and in writing. • Basic knowledge of Microsoft Office applications. • Excellent organisational skills. • Detail oriented. • Data entry skills with a focus on accuracy. This job was originally posted as www.totaljobs.com/JobSeeking/ITHelpdeskAssistantAdministrator_job****",Stratford-Upon-Avon,permanent,14500
"KFC is always looking for the right people to help grow our business, people who will share our passion and work together as one team, delivering the same excellent products and customer mania service, people that work hard and have fun in our reward and recognition culture. We know we need the very best people on our team. We’ve learned that if we put “people capability” first, satisfied customers and profitability follow. This means hiring, developing and retaining the right people to take our brands to the customer. The Secret is…being part of the world’s largest restaurant business …only at KFC This job was originally posted as www.totaljobs.com/JobSeeking/AssistantRestaurantManagerCamberley_job****",Camberley,permanent,19000
"Registered Nurse  RGN, Nursing Home ROLE NAME: Staff Nurse, RGN, Registered General Nurse, Nurse, Nursing Home, Residential Home. Due to an overwhelming demand within the Nursing Home sector, Castlerock Healthcare Division (CRG) are looking for qualified staff with experience to join our dedicated nursing team in and around Preston. This vacancy is being advertised by Castlerock Healthcare Division (CRG) who are acting as an employment business. We are a preferred and key supplier into nursing homes across the Northwest. We require exceptional and committed Nurses with a minimum of 6 months post registration experience to deliver high standards of care within nursing / residential settings. Experience of the following would be desirable: Elderly Care Medication Dementia Learning / Physical Disabilities Respite Care Palliative Care End of life Candidates who are able to provide all the relevant pre employment checks can professionally be offered work within 710 days. (This is dependent on all pre employment checks being satisfactorily completed) In return we offer a personal pension, free mandatory training, flexible hours, weekly pay combined with a competitive temporary workers benefit package. This post is subject to CRB clearance, preemployment and reference checks. KEY SKILLS/ ROLE NAME: Staff Nurse, RGN, Registered General Nurse, Nurse, Nursing Home, geriatric nursing, care for the elderly, dementia care, diabetes care, end of life care, general practice, residential care, supported living, careers in care, respite care, palliative care.",Lancashire,permanent,24960
"Senior Developer/Programmer/Software Engineer/Architect, High Frequency Trading, HFT, Low Latency, Algorithmic Trading, Algo Trading, Auto Trading, Automated Trading, Etrading, Electronic Trading, FX, Forex, Foreign Exchange, Currencies, Fixed Income, Credit, Commodities, EBS, Currenex, Multithreading, sockets, direct exchange connectivity, KDB, Q, Greenfield Join a high frequency algorithmic trading FX team within one of the world's top three FX banks. Own multiyear greenfield projects within a flagship, awardwinning algo trading platform for one of the world's most successful banks. TEAM: The team provides all hedging and pricing for the bank's flagship FX platform  high frequency, low latency, algorithmic trading This is based on the trade floor, and will see the candidate work in very close partnership with key members of the business, including the head of the entire FX business and the head of the quant team They have expanded into other areas as well as FX (Credit, Fixed Income, Commodities) The whole team, quants  traders  devs, are very close, and socialise regularly REQUIREMENTS: Very strong Java, comfortable with low level areas like Multithreading Excellent communication skills  they will work very closely with senior members of the business, traders, quants Finance experience preferred although not essential if technical experience is relevant (eg working on Betfair's low latency core exchange) Relevant etrading/algo trading experience would be very useful  low latency, high frequency trading systems Prior financial experience is not a prerequisite  the team are open if the candidate fits the profile technically and personally Senior Java Developer/Programmer/Software Engineer/Architect, High Frequency Trading, HFT, Low Latency, Algorithmic Trading, Algo Trading, Auto Trading, Automated Trading, Etrading, Electronic Trading, FX, Forex, Foreign Exchange, Currencies, Fixed Income, Credit, Commodities, EBS, Currenex, Multithreading, sockets, direct exchange connectivity, KDB, Q Please apply or call. Allegis Group Limited and Aston Carter Limited operate Employment Businesses and Agencies and are companies within the Allegis Group Inc. group of companies, the fourth largest staffing company in the world, (collectively referred to as the 'Allegis Group'). TEKsystems and Aerotek are divisions of Allegis Group Limited. Applicant data will be treated in accordance with the Allegis Group's Privacy Notice. By submitting personal data to any company or division within the Allegis Group, the applicant is providing explicit consent to the use of such data by the Allegis Group and to the transfer of such data to and from the Allegis Group companies within the UK, Europe and outside the European Economic Area in connection with the fulfilment of the applicant's voluntary requests, and the fulfilment of other job opportunities that match the applicant's profile, and confirms that they may be contacted about such job opportunities.",London,permanent,100000
"Title: Web Analyst – Exciting Analytics Insight Opportunity Location: Luton, Bedfordshire – commutable from London, Hertfordshire Salary: ****  **** Excellent Benefits 25 days holiday Skills: Web Analytics for eCommerce, Data savvy, Advanced Excel, Numerate, Webtrends, CoreMetrics, Hitwise, Igento, Business Objects, Tealeaf We are actively recruiting on behalf of an internationally renowned organisation for an experienced Web Analyst with demonstrable experience in delivering complex analytics and insight on ecommerce, sales focussed data. This is an extremely rare chance to join a friendly, informal team working in a relaxed, open plan office environment, whilst being given the opportunity to work on some truly exciting and challenging projects. You will be expected to provide regular strategic insight analysis into the usage of a number of ecommerce websites. This is a data focussed role, where you will be required to gain insight and value from data to drive growth. Responsibilities: • Constantly interrogate web analytics data with the aim of making recommendations that will lead to an increase in Online Conversion •Develop a department leading understanding of how our customers use websites. •Use online analytics, user experience and customer survey tools to identify blockages to conversion and propose changes to the online experience to ensure the User Experience is optimised. •Monitor websites for changes in online behaviour and communicate these insights clearly around the ECommerce team and wider business as necessary •Ensure that all proposed onsite developments have clearly identified and quantified benefits agreed prior to development •Assess the impact of changes to the websites and the achievement of financial success criteria •Manage a process for ensuring that adhoc requests from the business are handled effectively •Develop and analyse ECommerce KPI's (non trading), ensuring that key measures are selected and interpreted correctly To be considered, the suitable Web Analyst should have considerable experience in Web Analytics, driving insight from complex data and have a highly numerate mindset. Requirements: •Previous experience in a sales analysis environment •Previous experience in using enterprise level Web Analytics solutions, ideally on a commercial website ••Highly numerate and analytical mindset •Passion for Data and delivering meaningful insight •Ability to communicate complex data effectively to a variety of audiences •Understand online data collection techniques and limitations •Enthusiasm to learn and develop new skills •Established advanced user of Microsoft Excel Any additional skills with Webtrends, Coremetrics, Business Objects, Igento, Adobe Insight, Hitwise, Onmiture or Tealeaf would be considered hugely advantageous. This role would suit someone looking to join a forward thinking, friendly and global organisation who can offer a starting salary up to **** 25 days holiday which rises with service to 28 days, holiday concessions, childcare vouchers and more Apply now for an initial consultation Service **** st Recruitment Ltd operates advertises as an Employment Agency for permanent positions and as an Employment Business for contract/temporary positions. This job was originally posted as www.totaljobs.com/JobSeeking/WebAnalystExcitingAnalyticsInsightOpportunity_job****",UK,permanent,32500
"Hadoop Developer In Test  Central London  ETL/DB****  6 Months  BigData  **** We have a requirement for a engineer with Hadoop experience within the DW team. As a part of the DW team you'll be developing testing tools. Responsibilities:  Develop test plans, conditions and scenarios in support of ongoing business system applications and infrastructure.  Define, develop and maintain a repository of test plans, cases and scripts.  Develop and review test data requirements.  Significant experience with system integration and testing efforts.  Significant experience in creation, validation and coordination of system and user acceptance testing. Work Experience:  BigData or Hadoop experience or similar technologies.  SQL and DB**** : proven experience: writing intermediate level (complex query exp )  Proven experience with system integration and testing efforts.  Must have strong traditional ETL knowledge leveraging Informatica or like ETL tools  Must have strong SQL and DB**** experience: Proven experience: writing intermediate level (complex query exp )  Must have senior level of testing knowledge on DB**** or like MPP database environments  Proven experience in creation, validation and coordination of system and user acceptance testing. If interested please send your Cv in response or call **** for more information. Kind Regards Luke Shipley Consultant Technology Practice D **** (****)**** **** ********83 M **** (****)**** **** **** 3 Laurence Pountney Hill London, EC****R ****EU T **** (0)**** **** **** www.hydrogengroup.com Project Partners is part of Hydrogen Group. This job was originally posted as www.cwjobs.co.uk/JobSeeking/HadoopDeveloperInTest6Months****DailyBigDataDB2_job****",London,contract,78000
"Position: Social Worker; Children's Services (LAC, CP, CIN, A R). Location: South London Salary: Between ****  **** per hour Job RM Reference: Social Worker VAC/MLoyal**** Job Description: Social Work, Children's Services. Job Type: Contract 36 months (possible extension) Social Worker, Children's Services/ (LAC, CP). Our Client: Our client is a specialist in Children, Young People and Families services. The Role: Currently our client is looking to recruit a Social Worker with at least 2 years experience in a Social Care Children (LAC, CP, CIN, A R). To act as a member of a team that provides social work services to children, and their families with the purpose of safeguarding and promoting their welfare. To implement the policies and procedures of Children's Services (Safeguarding and Rights) with guidance from the Team Manager/Deputy Team Manager/Senior professional staff. You will:  Hold a valid CRB (Conducted in the last 12 months)  Have knowledge of the principles of the Children's Act ****/****  Have very good problem solving skills.  Have excellent communication skills. Must have 2 or more years working in Social Care We endeavour to reply to as many applicants as possible, if you do not hear from us within 24 hours; please assume your application has been unsuccessful on this occasion. To find out more information email your CV to Meena Loyal at meenafrlondon.co.uk quoting: VAC/MLoyal**** Fawkes Reece: As one of the UK's leading recruiters, Fawkes Reece specialises in all areas of Social Care Recruitment including Social Workers, Care Assistants, Social Worker Assistants, Support Workers, Outreach Workers Day Centre Officers. (LAC, CP, CIN, YOT, A R, LC). This job was originally posted as www.totaljobs.com/JobSeeking/SocialWorkerSocialWorker_job****",South East London,contract,51840
"BUSINESS TRAVEL CONSULTANT A fantastic opportunity to join a Dynamic Travel Management Company who specialise in Touring/Media and Entertainment. This is a very busy, vibrant and exciting environment to work in and our client is seeking **** Galileo trained Business Travel Consultants to join their expanding teams. The responsibilities of the Senior Business Travel Consultant are : Making Group bookings using Galileo Quote, book, issue tickets reissue tickets for all worldwide fares Offering first class customer service and speaking with VIP’s daily Booking private jets Offering a quick, efficient and professional service Working long hours in a very demanding environment The skills required for the Senior Business Travel Consultant: Excellent with Galileo GDS Must be able to work to and adhere to all deadlines Must have **** years Business Travel experience. Previous Touring/Media or Entertainment account experience would be an advantage but is not essential Be flexible on working hours as there are regular long da If you wish to apply for the role of Senior Business Travel Consultant, please click the link below: At Prospects4Corporate Travel we specialise in the sectors of Business Travel, Incentive Travel, Events, Venues, Hotels, and Travel Technology. We are very successful in placing people from Junior to Senior Management positions. If this position is not quite what you are looking for then please visit our website where you can register your CV and see all of our suitable vacancies. This job was originally posted as www.totaljobs.com/JobSeeking/BUSINESSTRAVELCONSULTANT_job****",South East London,permanent,28000
"Are you bilingual French and English speaker with Group Reservations experience? account management experience from a travel background? I have a fantastic opportunity to join a growing travel company who offer travel services for groups visiting the UK from France Your duties as Group Consultant Consultant will manage the travel requirements for specific overseas clients. You will book transport, accommodation, excursions, tours and many more optional extras whilst exceeding sales targets and offering exceptional customer service and managing your own administration. The role is a Monday to Friday **** **** with a one hour socialable lunch break also offering excellent career progression opportunities. GROUP RESERVATIONS CONSULTANT JOB DESCRIPTION:  Provide quotations in French both verbally and via email for specific client trips to the UK in  Book transport, accommodation, tours, restaurants and excursions  Update system with rates and negotiate when required  Develop new and existing client's relationships  Attend training to develop knowledge  Meet and exceed sales targets  Be on call for out of office emergency cover when required GROUP RESERVATIONS CONSULTANT RESPONSIBILITIES:  Must have worked in the travel industry in a reservations position  Extensive knowledge of UK hotels, touring, groups and FIT reservations  Group reservations experience an advantage  Bilingual; English / French  Ability to work in a fast paced sales environment  Attention to detail and strong negotiator  Good problem solving skills  Enthusiastic and effective communicator THE PACKAGE: A generous basic salary of **** plus commission and benefits will be offered. This is a Monday to Friday role 9am until ****:30pm INTERESTED: Please contact Peta on **** **** **** or email your CV to petatraveltraderecruitment.com.uk or 'APPLY' now",London,permanent,19000
"Connectivity Management Engineer c**** plus benefits, overtime and shift allowance Slough The Company Our client provides integrated building and communication technology solutions to worldclass customers via a number of dedicated business pillars such as government, education and managed services. They have been in business for nearly 30 years and employ **** staff across a number of UK sites. They have experienced significant growth in recent years including a turnover increase of 40% to 15m per year. Due to this growth they are looking to recruit a Connectivity Management Engineer. The Role The successful Connectivity Management Engineer will be responsible for the installation of structured network cable infrastructures and of fibre and copper patching for server hardware, network switches and architecture storage devices. This role is highly customer focused and professional working relationships are key to observing and achieving the customer service level agreement. The Connectivity Management Engineer will work in a team to plan and coordinate activities, keep up to date reports and provide technical support and troubleshooting. The successful Connectivity Management Engineer will be able to show experience of the following throughout the recruitment process: A strong background within Telecommunications / Electrical fields with cabling skills Previous work experience in a data centre environment Experience of Cisco networking platforms, HP and IBM Blade chassis/servers Moves, Adds and Changes Copper and Fibre structured network infrastructures Microsoft office applications Extensive knowledge and understanding of voice and data networks, also highly skilled copper and fibre cable installations, testing techniques and structural network cable infrastructures. Experience of working with BMC Remedy/Aperture Vista IT Service Management tools or similar systems. The Reward The company is offering a generous basic salary of circa **** plus 25% shift allowance, overtime opportunities and excellent company benefits. The Connectivity Management Engineer will work on a quot;4 on 4 off quot; rotating shift pattern consisting of days, afternoons, lates and nights, covering 24 hours a day, 7 days a week. This is subject to change according to customer business needs. How To Apply If you feel you have the relevant skills, experience and ambition to succeed in this challenging role please apply for the position using the apply button on this page. The Connectivity Management Engineer role will be based at our client s site in Slough.  We are an online recruitment company providing recruitment advertising and response management to clients throughout the UK. Unlike a recruitment agency, we will submit your application directly to the end company if you meet the essential criteria for the role. You will hear from them directly to arrange interviews and/or assessment centres. For regular updates of our latest vacancies please add easyvacancyjobs to your twitter feed ",Slough,permanent,25000
"We are currently recruiting for an experienced Customer Service Advisor for an online retailer based in Oldbury. The ideal candidate will have a wealth of experience within customer services from a commercial environment, strong communication skills, be confident in their approach and have the ability to handle customer complaints, queries and issues professionally and efficiently. This is a temporary assignment offering **** per hour working 37.5 hours per week Monday  Saturday The Customer Service Advisor will be responsible for:  Taking orders via the telephone accurately and efficiently  Advising customer of alternative products and product promotions that are available.  Discuss order progress with customers and liaise with warehouse and other internal departments when and where required  Handle all account and order queries, problems and issues  Responding to customer emails regarding their order. To apply for this position please click the APPLY button below. Pertemps specialise in temporary and permanent recruitment for Commercial, Industrial, Driving, Logistics, Engineering Technical sectors. If this particular vacancy is not of interest to you, we have other opportunities available in these sectors at www.pertemps.co.uk Seeking temporary work? All Pertemps flexible employees receive a guaranteed hours contract of employment and enjoy company benefits, so register online today.  Pertemps is an Equal Opportunities Employer This job was originally posted as www.totaljobs.com/JobSeeking/CustomerServiceAgent_job****",West Midlands,contract,12960
"Development Project Manager (WEB AJAX/ HTML/ FLEX) ****k London City Role: Experienced project manager to run multi million pound agile projects across web application projects in Ajax, HTML5, Silverlight or Flex Employer highprofile web trading application Financial client based in London City near Liverpool Street station. This financial trading company have done extremely well over 2011, 2012, and as a result are actively hiring for an agile project manager Business Area: Front to back office within foreign exchange markets, on globally strategic projects across complex web trading systems (CEPs, liquidity management, market data, OMS/EMS, risk management systems etc). Role Details This is a permanent role based in Central London with a salary of **** **** plus bonuses This is an outstanding opportunity for an individual wanting to bring their project management, FX and web skills to an organization at the leading edge of webbased trading technology and with clients including some of the world’s biggest financial institutions. Requirements  Background as a Project Manager   Agile project management experience (e.g. Scrum, XP, Kanban, and Lean).   Experience of front to back office component stack for complex web trading systems (CEPs, liquidity management, market data, OMS/EMS, risk management systems etc).   Experience of delivering web application projects in Ajax. HTML5, Silverlight or Flex.   Experience as a developer/test engineer will be very beneficial  Experience working within banking/ financial or professional services  FX/ foreign Exchange knowledge very beneficial Apply ASAPTo find out more about Huxley Associates please visit www.huxley.com",The City,,57500
"Fast growing, dynamic care agency are looking for an experienced Care Manager from a domiciliary care or residential care background, who understands the fastpaced and busy nature of domiciliary care management and who would like to hit the ground running with an existing, established domiciliary care branch. NVQ level 4 would be an advantage but for the right candidate we would be willing to pay for training to obtain this qualification. As a regional care provider, we recognise that the success of our company is based on two very important principles – our business is about the people we serve, and the people who deliver that service. As a Home Care Branch Manager you will be key in providing support to our care staff and ensuring clients get the care they need.The successful Care Manager / Branch Manager will receive a competitive salary and the opportunity to develop first line manager skills in a busy environment where you can make a real difference to the people we support.The successful Domiciliary Care / Branch Manager will be: Experienced in the delivery of high quality care Passionate about standards and customer satisfaction Knowledgeable in office procedures and fully computer literate Reliable and have good attention to detail Dynamic, ambitious and hard working, and have a sense of humour Able to manage and direct people in a fast moving environment Have a good knowledge/ willing to learn CQC complianceThe role of Domiciliary Care / Branch Manager is a full time permanent role and is a fantastic opportunity to work within a highly respected, organisation with great prospects, training and career progression opportunities. It is certainly exciting times ahead Applications for this vacancy go directly to the advertiser. By applying for this position you accept that your personal details will be made available to this company and that their Privacy Policy may be different to Flex Recruitment Plus.",Hornchurch,,34000
Amazing Restaurant Manager needed for one of the UK s BEST restaurant groups WIMBLEDON  ****K plus We are a famous and fun loving restaurant group on the hunt for an energetic and passionate general manager for our busy family friendly restaurant in Wimbledon . Our restaurants are fast paced and full of fun whilst serving the most awesome food . We are renowned on the UK high street for delivering an amazing customer service every time and are looking for enthusiastic people who can do the same. What do we look for in our people? Experience in a restaurant management position Buckets of personality Experience in a high volume environment A passion for great food  Someone who is all about the customer  If you re looking for a fresh challenge this NEW YEARS then we want to hear from you ASAP,London,,32500
"Account Manager  Finance and Travel Sales Package: ****k  substantial benefits Locations: London and Surrey We are a Global leader in lifestyle and travel products, owning a range of companies that sell direct to consumers and wholesale to financial institutions across the globe. With around **** employees worldwide, we are a very successful and growing company with a flexible and flat internal hierarchical structure. Due to expansion, we are looking to recruit an additional Account Development Manager to our successful team. In this role you will build and maintain a number of medium sized key Financial Services accounts across the EMEA region (40 million per year). You will need to maintain a strong commercial awareness and understanding of commercial strategy, market intelligence and competitor insight. You will also need to assist with the preparation of contractual agreements and create and deliver proposals. This role involves extensive travel for face to face meetings in Europe and the Middle East. The successful applicant will ideally have 5 years account management experience, in European or International markets, gained within the Financial Services sector or similar sectors where bespoke services are offered. The key to success in this role is to have experience with managing large and complex client accounts and in addition to have commercial as well as operational experience and the ability the deal with change within your role. If you possess the sales skills and experience listed above and would like to find out more, please send a copy of your CV to our advising Consultant Terry O'Toole at PMA Sales Recruitment quoting LTT****EY WORDS: Account Management, Account Director, Relationship Manager, Lifestyle sales, Retail Banking, Credit Cards, Corporate Clients, Financial Services sales, Banking, Loyalty Cards, Priority Access, Corporate travel sales, Diners Club, Barclaycard, American Express, Account Manager. Due to the nature of our business we will only reply to those candidates who we feel have the relevant sales experience for this role. Based in London, PMA Sales Recruitment specialise in recruiting for sales vacancies at all levels of Sales roles including Sales Executives, Account Managers, Business Development, Sales Managers, Sales Directors and Telesales Executives/Internal Sales. The sales roles that we manage and recruit for are across the spectrum including IT sales, Telecom sales, Media sales, Financial sales, Information sales, Hosting sales and general Business to Business Sales positions and Sales jobs.",London,,62499
"Our client is one of the UK's leading employee benefits consultancies. As a result of continued expansion they are looking to strengthen their team by appointing a DC Consultant focussed on servicing and expanding the corporate pensions business. You will be responsible for working with existing clients as well as a network of introducers to generate further business . Candidates need to be DipPFS / Level 4 / Diploma qualified, ideally at or close to Chartered status, and have a proven track record working for another corporate IFA / pensions consultancy ideally within a professional services environment or employee benefits consultancy. In return our client is looking to offer a competitive basic of ****k as well as an excellent benefits package. This job was originally posted as www.totaljobs.com/JobSeeking/DCPensionsConsultant_job****",UK,permanent,60000
Our Client are a market leader withiin construction and engineering. They are currently seeking an experienced Project Manager to be based in Cumbria. Key Experience; Ideally posses a Mechanical Background and experience within the Project Management Role,Cumbria,contract,69120
"Senior Legal Recruitment Consultant Extremely successful recruitment brand Leeds Basic ****k OTE ****K EXPERIENCE OF WORKING WITHIN SPECIALIST RECRUITMENT IS ESSENTIAL. This business is one of the fastest growing Consultancies in the area. They believe that their staff are their greatest asset and have a track record in training, retention and development second to none. Their greatest asset is their culture where people, despite great diversity, share common values and a commitment to the business. Their core function is top level executive search, but they also have highly successful Interim and Advertised Selection teams. In addition they are the UK search industry leader and part of a major international search network spanning circa 60 offices in over 30 countries. For further information Please apply or contact Ruth Moran 8am9pm weekdays. Details on the Ruth Moran Consulting website. Please Call after 8am. This job was originally posted as www.SalesTarget.co.uk/JobSeeking/SeniorLegalRecruitmentConsultantLeeds_job****",Leeds,,65000
"REGIONAL MANAGER  Premium brand up to ****k  bonus  bens London We are looking for an exceptional candidate to fill the role of Regional Manager in London for a well known mens and ladies premium brand. As Regional Manager your main responsibilities will be to maximise sales volume and profit across the region whilst ensuring the delivery of a customer experience in line with Brand expectations. The successful candidate will have relevant experience from a luxury environment working with high turnovers. We are looking for an inspirational and driven manager who is quirky, charming and collected and capable of leading and driving a team to achieve results. If you have the relevant experience for this role, please click the apply button to send your CV to Carla Da Silva, remembering to state your current salary and package. Job Ref: CDS**** We regret that due to the volume of applications, only successful applicants will be contact This job was originally posted as www.retailchoice.com/JobSeeking/REGIONALMANAGERPremiumbrand_job****",South East London,permanent,60000
"http://www****igrasp.com/fe/tpl_balfourbeattygroup****asp?newmsjj id**** aid**** JOB_DESCRIPTION: Job Description Balfour Beatty Workplace is recruiting for a Systems Design Lead  Mobile Solutions and Interfaces, to be based in our Head Office in Angel, London. You will be an expert on working with businesses to extend their asset management systems through mobile solutions and interfacing to other company and 3rd party systems. This is a permanent role paying up to **** depending on experience, plus benefits.Balfour Beatty Workplace help schools, industrial locations, hospitals, governments and institutions – define and then realise their strategic facilities management objectives in a world that is evolving at unprecedented speed. Our reputation gives our customers, employees, partners, suppliers, investors and the many communities that we serve the confidence to trust us and work with us. Our Groupwide values of Integrity, Teamwork, Excellence and Respect are essential in guiding the way we do business. Balfour Beatty Workplace is an equal opportunities employer. For all internal employees please note that all Balfour Beatty Group operating companies have their own individual Terms and Conditions. Therefore if you were successful in joining Balfour Beatty Workplace (BBW), in accepting the role you would move onto BBW’s Terms of Employment/Terms and Conditions. Requirements You will be an expert on guiding businesses to extend their asset management systems through mobile solutions and interfaces. You will understand business process and have the ability to drive efficiency through integration of mobile technology and integration with 3rd party systems. You will also need to have the ability to identify and convert business requirements into high level technical solutions. Responsibilities  Responsible for advising operational teams on best practise use of solutions intergrated to Maximo  Owns the relationship wtih 3rd party suppliers and BBW development team to develop and enhance mobile solutions and interfaces with Maximo  Indetifies emerging business requirements in this area and influences the Asset Management Systems technology roadmap  Focus on reducing the cost of operating the Asset Management Systems through automation of data transfer The Individual  Must have experience if mobile data implementation  Effective at working with technology suppliers, development teams and 3rd party IT functions to ensure end to end technology solutions operate efficiently  Working knowledge of web services technology  Good functional knowledge of Maximo  Understanding of business process analysis and ability to define business requirements  Skilled in producing clear and concise documentation on the operational use od mobile solutions and interfaces",London,,20000
"For this position the Information Governance Officer will be required to deal with NHS information Governance issues specifically around legislation. You will need good experience with Windows, Spreadsheets, databases, word processing and presentational software as well as the Information Governance (IG) toolkit. This role is to start ASAP and will pay ******** per hour (ltd/umbrella) dependant on experience. To apply for this position, candidates must be eligible to live and work in the UK Matchtech is acting as an Employment Business in relation to this vacancy",Bradford,contract,24000
